id,dbName,size,date,dbSizeGroup
1,isoft,5374,1693119773897,testisoft
2,kauh,18,1693119773898,kauh
3,isoft,7336,1693119774028,isoft
4,prod,86,1693119776108,prod
5,kauh,18,1693718963924,kauh
6,isoft,5374,1693718963924,testisoft
7,isoft,7342,1693718964057,isoft
8,prod,86,1693718964186,prod
9,isoft,5374,1694332909075,testisoft
10,kauh,18,1694332909089,kauh
11,isoft,7347,1694332909203,isoft
12,prod,86,1694332909456,prod
13,prod,86,1694931381624,prod
14,isoft,5375,1694931381736,testisoft
15,isoft,7352,1694931381737,isoft
16,kauh,18,1694931381969,kauh
17,isoft,5375,1695532529337,testisoft
18,kauh,19,1695532529349,kauh
19,prod,86,1695532529363,prod
20,isoft,7389,1695532529652,isoft
21,kauh,19,1696137655913,kauh
22,prod,86,1696137655931,prod
23,isoft,7394,1696137656228,isoft
24,kauh,19,1696744953266,kauh
25,isoft,7399,1696744954159,isoft
26,prod,86,1696744954361,prod
27,kauh,19,1697345850869,kauh
28,prod,86,1697345850892,prod
29,isoft,7404,1697345850931,isoft
30,prod,86,1697951008139,prod
31,kauh,19,1697951008151,kauh
32,isoft,7440,1697951008199,isoft
33,isoft,7449,1698555379548,isoft
34,kauh,19,1698555379567,kauh
35,prod,86,1698555379579,prod
36,prod,86,1699161128859,prod
37,kauh,19,1699161128871,kauh
38,isoft,7454,1699161129040,isoft
39,prod,86,1699768609515,prod
40,kauh,19,1699768609532,kauh
41,isoft,7491,1699768609940,isoft
42,isoft,7491,1699768609940,isoft
43,prod,86,1700370125624,prod
44,kauh,19,1700370125818,kauh
45,isoft,7528,1700370125837,isoft
46,isoft,7541,1700975633551,isoft
47,prod,86,1700975633551,prod
48,kauh,19,1700975633983,kauh
49,prod,86,1701580109139,prod
50,isoft,7546,1701580109460,isoft
51,kauh,19,1701580109489,kauh
52,prod,86,1702186738667,prod
53,isoft,7551,1702186738746,isoft
54,kauh,19,1702186738768,kauh
55,prod,86,1702791065779,prod
56,kauh,19,1702791065843,kauh
57,isoft,7556,1702791066441,isoft
58,isoft,7556,1702791066441,isoft
59,prod,86,1703394454725,prod
60,kauh,19,1703394454745,kauh
61,isoft,7593,1703394454804,isoft
62,kauh,19,1703999784838,kauh
63,isoft,7629,1703999785198,isoft
64,prod,86,1703999785271,prod
65,prod,86,1704603977035,prod
66,isoft,7636,1704603977290,isoft
67,kauh,19,1704603977464,kauh
68,prod,86,1705208908955,prod
69,kauh,19,1705208908976,kauh
70,isoft,7641,1705208909231,isoft
71,prod,86,1705813843610,prod
72,kauh,22,1705813843906,kauh
73,isoft,7646,1705813844007,isoft
74,prod,86,1706419235564,prod
75,kauh,22,1706419235694,kauh
76,isoft,7682,1706419236052,isoft
77,prod,86,1707023284067,prod
78,kauh,22,1707023284080,kauh
79,isoft,7688,1707023284468,isoft
80,isoft,7725,1707631452532,isoft
81,kauh,22,1707631452974,kauh
82,prod,86,1707631453380,prod
83,prod,86,1708232921182,prod
84,kauh,22,1708232921207,kauh
85,isoft,7762,1708232921519,isoft
86,prod,86,1708838724584,prod
87,kauh,22,1708838724598,kauh
88,isoft,7798,1708838724750,isoft
89,kauh,22,1709444196922,kauh
90,prod,86,1709444197067,prod
91,isoft,7804,1709444197251,isoft
92,prod,86,1710048613156,prod
93,kauh,22,1710048613170,kauh
94,isoft,7810,1710048613603,isoft
95,prod,86,1710657415825,prod
96,kauh,22,1710657417267,kauh
97,isoft,7814,1710657417288,isoft
98,prod,86,1711263485913,prod
99,kauh,22,1711263485930,kauh
100,isoft,7820,1711263486051,isoft
101,prod,86,1711868327213,prod
102,isoft,7824,1711868327213,isoft
103,kauh,22,1711868327234,kauh
104,kauh,23,1712471671780,kauh
105,isoft,7827,1712471672319,isoft
106,prod,86,1712471672568,prod
107,kauh,23,1713074090569,kauh
108,isoft,7829,1713074090879,isoft
109,prod,86,1713074091024,prod
110,kauh,23,1713687200430,kauh
111,prod,86,1713687200458,prod
112,isoft,7845,1713687200471,isoft
113,kauh,23,1714281587366,kauh
114,isoft,7850,1714281587697,isoft
115,prod,86,1714281587847,prod
116,kauh,23,1714886074426,kauh
117,prod,86,1714886074724,prod
118,isoft,7854,1714886074783,isoft
119,kauh,23,1715490674695,kauh
120,prod,87,1715490674724,prod
121,isoft,7890,1715490674982,isoft
122,prod,87,1716099557832,prod
123,kauh,23,1716099557831,kauh
124,isoft,7896,1716099557851,isoft
125,kauh,23,1716700354027,kauh
126,prod,87,1716700354060,prod
127,isoft,7965,1716700354308,isoft
128,kauh,23,1717309683013,kauh
129,prod,87,1717309683024,prod
130,isoft,7970,1717309683468,isoft
131,kauh,23,1717998614570,kauh
132,prod,87,1717998614581,prod
133,isoft,8009,1717998614609,isoft
134,kauh,23,1719122455703,kauh
135,isoft,8017,1719122455720,isoft
136,prod,87,1719122455754,prod
137,kauh,23,1719725338199,kauh
138,prod,87,1719725338216,prod
139,isoft,8102,1719725338486,isoft
140,prod,87,1720421366627,prod
141,isoft,8107,1720421366641,isoft
142,kauh,23,1720421366653,kauh
143,kauh,23,1720936578743,kauh
144,prod,87,1720936578761,prod
145,isoft,8113,1720936578967,isoft
146,isoft,8118,1721543192930,isoft
147,kauh,23,1721543192932,kauh
148,prod,87,1721543192957,prod
149,kauh,23,1722147032543,kauh
150,prod,87,1722147032611,prod
151,isoft,8125,1722147032757,isoft
152,kauh,23,1722751662646,kauh
153,isoft,8139,1722751662656,isoft
154,prod,87,1722751662667,prod
155,kauh,23,1723356112834,kauh
